ckpt,acc,prec,recall,f1
ckpt-00-0.86092,88.92551087673039,47.175084847274896,39.7945436173796,43.171645199598075
ckpt-05-0.71457,95.92849664585677,82.3621227887617,79.97642303805995,81.15174299384827
ckpt-10-0.67722,96.92504556206134,86.87704776685635,84.8433816099697,85.8481724461106
ckpt-15-0.67660,97.31086897514444,88.99878535484991,86.37588413607277,87.66772070763183
ckpt-20-0.66853,97.25658226375586,88.08992620559465,86.44324688447287,87.25881852953677
ckpt-25-0.65789,97.29729729729729,87.9891119428377,87.1000336813742,87.54231550440079
ckpt-30-0.67042,97.2197448524565,87.36357435197817,86.27484001347256,86.81579393323166
ckpt-35-0.64917,97.51638295397262,89.36717544160521,87.75682047827551,88.55467754269691
ckpt-40-0.66238,97.44270813137385,88.40555179417738,87.95890872347591,88.1816646969441
ckpt-45-0.65804,97.42525883128464,88.15165876777252,87.7062984169754,87.92841465473578
ckpt-50-0.66396,97.53189344294078,89.12190963341858,88.02627147187604,88.57070236380581
ckpt-55-0.65058,97.56291442087714,89.47458497347253,88.0431121589761,88.75307698837109
ckpt-60-0.65325,97.6637325991702,90.03259564247726,88.37992590097677,89.19860627177702
ckpt-65-0.66212,97.51638295397262,88.74385489065945,88.16099696867632,88.45146574300922
ckpt-70-0.65556,97.60944588778162,89.316093909493,88.41360727517683,88.86255924170618
ckpt-75-0.66373,97.54546512078794,89.11970032351437,88.14415628157629,88.62924392515451
ckpt-80-0.65236,97.63465043235487,89.6722430863776,88.46412933647693,89.06408952187182
ckpt-85-0.65089,97.78393888867346,89.39775205502431,89.74402155607949,89.57055214723927
ckpt-90-0.64903,97.65209973244407,89.49608443990465,88.53149208487707,89.0111750761937
ckpt-95-0.67302,97.62107875450774,89.50870010235414,88.36308521387674,88.93220338983048
ckpt-100-0.64644,97.67730427701731,89.9523160762943,88.95250926237793,89.4496189669771
ckpt-105-0.64548,97.66179378804917,89.55147808358818,88.76726170427753,89.1576454668471
ckpt-110-0.64464,97.61138469890264,89.37510641920655,88.3967665880768,88.88324443315555
ckpt-115-0.64531,97.70638644383264,90.29326016120736,88.6662175816773,89.47234259495285
ckpt-120-0.64437,97.68505952150144,90.12875536480686,88.41360727517683,89.26294312675337
ckpt-125-0.65001,97.7102640660747,90.15384615384615,88.81778376557764,89.48082796063794
ckpt-130-0.63520,97.646283299081,89.7016197783461,88.5988548332772,89.14682707786156
ckpt-135-0.64580,97.6637325991702,90.02221083205194,88.73358033007747,89.37325078449665
ckpt-140-0.65496,97.70057001046958,90.19473864024599,88.91882788817786,89.55223880597015
ckpt-145-0.64412,97.69863119934857,90.04617752693689,88.6662175816773,89.35086974968179
ckpt-150-0.64238,97.70444763271162,90.0136565380676,88.80094307847759,89.40318752119362
ckpt-155-0.64580,97.70832525495364,90.24931693989073,89.003031323678,89.6218416143802
ckpt-160-0.64236,97.69669238822752,90.15889287544847,88.86830582687773,89.5089475023323
ckpt-165-0.66371,97.68505952150144,89.81434167944134,88.80094307847759,89.3047675501736
ckpt-170-0.64593,97.73159098840591,90.29275808936826,88.81778376557764,89.5491977247644
ckpt-175-0.63360,97.70057001046958,90.08885850991112,88.78410239137756,89.431721798134
ckpt-180-0.64124,97.77230602194734,90.56668378702277,89.08723475917819,89.82086764581034
ckpt-185-0.63928,97.68893714374346,90.01022843504944,88.91882788817786,89.46119959335819
ckpt-190-0.64541,97.73546861064794,90.3286545703526,88.86830582687773,89.59252971137518
ckpt-195-0.64210,97.73352979952692,90.45742676032208,88.91882788817786,89.68152866242039
ckpt-200-0.63731,97.74516266625305,90.39808645139244,89.10407544627822,89.74641675854465
ckpt-205-0.65815,97.73546861064794,90.55212620027436,88.93566857527789,89.73661852166526
ckpt-210-0.64140,97.7102640660747,90.11082693947144,89.003031323678,89.55350334660679
ckpt-215-0.65182,97.73546861064794,90.37835986988527,88.9019872010778,89.63409457509127
ckpt-220-0.65881,97.70444763271162,90.14854020829777,88.91882788817786,89.52946163628657
ckpt-225-0.63730,97.7490402884951,90.42407660738714,89.05355338497812,89.7335822161887
ckpt-230-0.66561,97.72577455504283,90.40767386091127,88.88514651397776,89.63994565217392
ckpt-235-0.64971,97.71801931055876,90.35463422991262,88.81778376557764,89.57961783439491
ckpt-240-0.64088,97.73546861064794,90.36226930963774,89.05355338497812,89.70313825275656
ckpt-245-0.65164,97.75485672185816,90.64106959204662,89.05355338497812,89.84029901461093
ckpt-250-0.64621,97.7490402884951,90.46153846153842,89.12091613337824,89.78622327790977
ckpt-255-0.65374,97.78006126643145,90.68174032202809,89.1545975075783,89.91168478260867
ckpt-260-0.64003,97.73934623289,90.40861685758249,89.05355338497812,89.72596928819887
ckpt-265-0.62551,97.75485672185816,90.5169462512838,89.05355338497812,89.77928692699491
ckpt-270-0.65144,97.74516266625305,90.41353383458649,89.10407544627822,89.75402883799829
ckpt-275-0.64670,97.79557175539959,90.76580435155044,89.22196025597843,89.98726114649679
ckpt-280-0.62993,97.76261196634223,90.53406367682301,89.07039407207813,89.79626485568762
ckpt-285-0.63986,97.77230602194734,90.68333618770338,89.17143819467834,89.92103252101553
